"Timestamp","Name (Or your secret nick name)","Are you struggling to create good habits and maintain it for long period of time. ","Do you often find hard to get motivated on start working on your habits.","Are you struggling to manage your time properly and get stressed from properly strategizing yours tasks?  ","Do you get motivated by competing with your friends or other random players with reward if you win the competition.","Are you struggling to figure out which task to focus now so that you are prioritizing all your important domains equally without becoming unbalanced in just one domain?","Are you getting bored by seeing same friend's face every day, and want to talk with new strangers in a group chat who have same interest like yours.                                                                                         (Or if you are low in extraversion, do you like having deep conversation with similar mindset peoples while keeping your identity anonymous?)","Do you like to track your progress as you progress toward your habits.","Will you prefer to use an Mobile Platform which perform all the problems mentioned above?","Do you want that app to have workout, diet and study routine for you, with tracking as you work on it.","Additional Advice for this app."
"2021/11/12 9:00:53 PM GMT+5:45","Mira Shrestha","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Nothing"
"2021/11/12 9:01:17 PM GMT+5:45","Prakash Basnet","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","May be, not fix.","Yes!!","May be you can add some daily tips and advice"
"2021/11/12 9:01:29 PM GMT+5:45","Aashish Ghimire","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!",""
"2021/11/12 9:01:34 PM GMT+5:45","Cypher","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/12 9:02:06 PM GMT+5:45","aaaaaa","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","Yes!!","No.","Yes!!",""
"2021/11/12 9:10:21 PM GMT+5:45","Gaurab Shrestha","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!","Hamro Aaradhya OP 😀✌️"
"2021/11/12 9:18:31 PM GMT+5:45","YUWA","Yes!!","Yes!!","Yes!!","No.","No.","No.","Yes!!","May be, not fix.","Yes!!",""
"2021/11/12 9:18:31 PM GMT+5:45","Raju Sharma Dahal","Yes!!","Yes!!","Yes!!","Yes!!","Question Unclear.","Yes!!","Yes!!","May be, not fix.","Yes!!","All good"
"2021/11/12 9:25:40 PM GMT+5:45","Raju Choudhary","Yes!!","Yes!!","Yes!!","Yes!!","No.","No.","Yes!!","May be, not fix.","Yes!!",""
"2021/11/12 9:30:14 PM GMT+5:45","Binit Koirala","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","N/A"
"2021/11/12 9:31:44 PM GMT+5:45","Pradhumna Dhungana","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!",""
"2021/11/12 9:35:51 PM GMT+5:45","Dikshya Gajmer","No.","No.","Yes!!","Yes!!","No.","No.","Yes!!","May be, not fix.","Yes!!",""
"2021/11/12 9:38:41 PM GMT+5:45","arjun ","Yes!!","Yes!!","Yes!!","Yes!!","Question Unclear.","Yes!!","Yes!!","May be, not fix.","Yes!!","."
"2021/11/12 9:53:09 PM GMT+5:45","Sujit Shrestha","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/12 9:56:07 PM GMT+5:45","Hem chandra karki","Yes!!","Yes!!","Yes!!","Yes!!","No.","No.","Yes!!","May be, not fix.","Yes!!",""
"2021/11/12 10:06:05 PM GMT+5:45","Anjal bhattarai","Yes!!","Yes!!","Yes!!","Yes!!","Question Unclear.","Yes!!","Yes!!","May be, not fix.","Yes!!","......"
"2021/11/12 11:03:57 PM GMT+5:45","Marshall Bruce Mathers III","No.","Yes!!","No.","Yes!!","No.","Yes!!","No.","Yes!!","No.","I don't know, Its just the way I am."
"2021/11/12 11:18:06 PM GMT+5:45","Kit","Yes!!","Yes!!","Yes!!","No.","Question Unclear.","No.","Yes!!","Yes!!","Yes!!",""
"2021/11/13 1:02:22 AM GMT+5:45","Mukesh","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","😍"
"2021/11/13 5:36:52 AM GMT+5:45","Pranish Katwal","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Keep up the hardwork and All the best"
"2021/11/13 5:45:58 AM GMT+5:45","Sumit Sah","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!",""
"2021/11/13 6:14:22 AM GMT+5:45","Bhuparaj Bhattarai ","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 6:24:09 AM GMT+5:45","Arjun Katwal","No.","Yes!!","Yes!!","No.","Yes!!","No.","No.","Yes!!","Yes!!","No"
"2021/11/13 6:26:06 AM GMT+5:45","Niraj Gajurel","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 6:50:54 AM GMT+5:45","Sonish Adhikari","No.","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!","Yes!!","Keep growing sathi❣dherai dherai samjhana"
"2021/11/13 7:32:26 AM GMT+5:45","NikkiGoyal ","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 12:34:24 PM GMT+5:45","Madan Nepal","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No"
"2021/11/13 12:51:16 PM GMT+5:45","Roshan","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 1:14:45 PM GMT+5:45","Abhishek Neupane","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","May be, not fix.","Yes!!",""
"2021/11/13 6:07:21 PM GMT+5:45","Siimbap","Yes!!","Yes!!","Yes!!","No.","No.","No.","Yes!!","Yes!!","Yes!!","No advices but best wishes for you to complete this fyp smoothly 🍀"
"2021/11/13 7:32:58 PM GMT+5:45","Bibisha","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Nothing"
"2021/11/13 7:57:06 PM GMT+5:45","Ashim Nepal","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Remeinder to do the listed out work"
"2021/11/13 9:08:28 PM GMT+5:45","Rdapnhe","Yes!!","Yes!!","Yes!!","No.","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 10:40:02 PM GMT+5:45","Milan","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/13 11:08:34 PM GMT+5:45","Jenny","No.","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","May be, not fix.","No.",""
"2021/11/14 12:43:27 AM GMT+5:45","Prajwol Shakya","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Very much interesting."
"2021/11/14 6:59:24 AM GMT+5:45","Rupesh","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.","May be, not fix.","No.",""
"2021/11/14 10:17:54 AM GMT+5:45","Chanchotartaruga","Yes!!","Yes!!","Yes!!","No.","Question Unclear.","Yes!!","Yes!!","May be, not fix.","Yes!!",""
"2021/11/14 11:44:10 AM GMT+5:45","Jebish Pokharel","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes yes yes "
"2021/11/15 12:13:54 AM GMT+5:45","Roshan Budhathoki","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Goood luck"
"2021/11/15 9:07:32 PM GMT+5:45","Pearl","Yes!!","No.","Yes!!","Yes!!","Yes!!","No.","Yes!!","May be, not fix.","Yes!!",""
"2021/11/16 11:34:23 AM GMT+5:45","Ashim Acharya","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/17 1:45:34 PM GMT+5:45","Alish Dhakal","Yes!!","Yes!!","Yes!!","Yes!!","Question Unclear.","No.","Yes!!","Yes!!","No.",""
"2021/11/17 3:01:55 PM GMT+5:45","Rajan Shah","Yes!!","No.","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""
"2021/11/17 3:12:20 PM GMT+5:45","Mandil Shrestha","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","No.",""
"2021/11/21 1:02:51 PM GMT+5:45","Sumnima Dewan  ","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!","Yes!!",""